YearQuarterId,YearGroupId,Year,Quarter,FailureUnit,Zone,ZoneCategory,Location,LocationCategory,Direction
2020-Q2,G2020,2020,Q2,5819,4,Very High,France,C,Nil
2017-Q4,G2017,2017,Q4,156,3,High,Finistère,D,North West
2024-Q1,G2024,2024,Q1,44,1,Low, Gers,D,South
2018-Q3,G2018,2018,Q3,178,3,High,Essonne,D,North Central
2021-Q3,G2021,2021,Q3,14,1,Low,Orne,D,North
2017-Q3,G2017,2017,Q3,2250,4,Very High,Île-de-France,R,North Central
2021-Q4,G2021,2021,Q4,27,1,Low,Ardennes,D,North East
2019-Q2,G2019,2019,Q2,33,1,Low,Mayenne,D,West
2023-Q1,G2023,2023,Q1,1160,4,Very High,Hauts-de-France,R,North
2019-Q2,G2019,2019,Q2,234,4,Very High,Pas-de-Calais ,D,North
2022-Q4,G2022,2022,Q4,144,3,High,La Réunion,C,Nil
2023-Q2,G2023,2023,Q2,394,4,Very High,Gironde,D,South West
2022-Q3,G2022,2022,Q3,72,2,Medium,Loiret ,D,Central
2014-Q3,G2014,2014,Q3,34,1,Low, Lot,D,South
2022-Q3,G2022,2022,Q3,69,2,Medium,Ain,D,South East
2022-Q3,G2022,2022,Q3,88,2,Medium, Pyrénées-Orientales ,D,South
2017-Q2,G2017,2017,Q2,231,4,Very High,Val-de-Marne,D,North Central
2016-Q1,G2016,2016,Q1,300,4,Very High,Hérault ,D,South
2015-Q2,G2015,2015,Q2,59,2,Medium,Aube,D,North East
2024-Q4,G2024,2024,Q4,0,1,Low,Centre-Val de Loire,R,Central
2021-Q4,G2021,2021,Q4,31,1,Low,Orne,D,North
2024-Q1,G2024,2024,Q1,101,3,High, Doubs,D,East
2024-Q2,G2024,2024,Q2,55,2,Medium, Cher,D,Central
2024-Q1,G2024,2024,Q1,71,2,Medium,Corse-du-Sud,D,South
2016-Q3,G2016,2016,Q3,42,1,Low,Ardennes,D,North East
2015-Q2,G2015,2015,Q2,87,2,Medium,Eure-et-Loir,D,Central
2016-Q3,G2016,2016,Q3,120,3,High, Saône-et-Loire,D,East
2014-Q2,G2014,2014,Q2,197,3,High,Morbihan ,D,North West
2016-Q2,G2016,2016,Q2,36,1,Low,Orne,D,North
2024-Q1,G2024,2024,Q1,173,3,High,Moselle,D,North East
2016-Q1,G2016,2016,Q1,44,1,Low,Aveyron,D,South
2022-Q4,G2022,2022,Q4,119,3,High, Pyrénées-Orientales ,D,South
2020-Q3,G2020,2020,Q3,11,1,Low,Alpes-de-Haute-Provence,D,South East
2017-Q1,G2017,2017,Q1,497,4,Very High,Rhône,D,South East
2015-Q2,G2015,2015,Q2,84,2,Medium,Vosges,D,North East
2022-Q1,G2022,2022,Q1,17,1,Low,Haute-Marne,D,North East
2024-Q2,G2024,2024,Q2,630,4,Very High, Normandie,R,North
2022-Q3,G2022,2022,Q3,893,4,Very High,Hauts-de-France,R,North
2015-Q4,G2015,2015,Q4,45,1,Low, Gers,D,South
2024-Q4,G2024,2024,Q4,0,1,Low,Hautes-Alpes,D,South East
2018-Q3,G2018,2018,Q3,502,4,Very High,La Réunion,C,Nil
2018-Q4,G2018,2018,Q4,38,1,Low, Ariège,D,South
2020-Q3,G2020,2020,Q3,18,1,Low,Nièvre ,D,East
