YearQuarterId,YearGroupId,Year,Quarter,FailureUnit,Zone,ZoneCategory,Location,LocationCategory,Direction
2020-Q4,G2020,2020,Q4,22,2,Medium,French Teritories,OFOT,Nil
2015-Q1,G2015,2015,Q1,104,3,High, Martinique,C,Nil
2017-Q4,G2017,2017,Q4,139,3,High, Martinique,C,Nil
2018-Q4,G2018,2018,Q4,316,4,Very High,La Réunion,C,Nil
2018-Q3,G2018,2018,Q3,2,1,Low,French Teritories,OFOT,Nil
2018-Q4,G2018,2018,Q4,14,1,Low,French Teritories,OFOT,Nil
2014-Q2,G2014,2014,Q2,126,3,High, Martinique,C,Nil
2015-Q2,G2015,2015,Q2,98,3,High,Guadeloupe,C,Nil
2023-Q3,G2023,2023,Q3,208,4,Very High,La Réunion,C,Nil
2022-Q1,G2022,2022,Q1,90,3,High, Martinique,C,Nil
2023-Q4,G2023,2023,Q4,16526,4,Very High,France,C,Nil
2019-Q4,G2019,2019,Q4,185,4,Very High,La Réunion,C,Nil
2019-Q1,G2019,2019,Q1,14565,4,Very High,France,C,Nil
2021-Q1,G2021,2021,Q1,47,2,Medium,Guadeloupe,C,Nil
2020-Q3,G2020,2020,Q3,0,1,Low,French Teritories,OFOT,Nil
2019-Q3,G2019,2019,Q3,10430,4,Very High,France,C,Nil
2018-Q2,G2018,2018,Q2,25,2,Medium,French Guiana,C,Nil
2018-Q3,G2018,2018,Q3,502,4,Very High,La Réunion,C,Nil
2019-Q1,G2019,2019,Q1,76,3,High, Martinique,C,Nil
2014-Q1,G2014,2014,Q1,156,4,Very High, Martinique,C,Nil
2017-Q3,G2017,2017,Q3,132,3,High,La Réunion,C,Nil
2020-Q3,G2020,2020,Q3,55,2,Medium,Guadeloupe,C,Nil
2017-Q1,G2017,2017,Q1,104,3,High, Martinique,C,Nil
2020-Q4,G2020,2020,Q4,7972,4,Very High,France,C,Nil
2014-Q3,G2014,2014,Q3,32,2,Medium,French Guiana,C,Nil
2019-Q2,G2019,2019,Q2,207,4,Very High,La Réunion,C,Nil
2022-Q2,G2022,2022,Q2,63,2,Medium, Martinique,C,Nil
2020-Q2,G2020,2020,Q2,5819,4,Very High,France,C,Nil
2019-Q3,G2019,2019,Q3,1,1,Low,French Teritories,OFOT,Nil
2024-Q1,G2024,2024,Q1,17668,4,Very High,France,C,Nil
2019-Q2,G2019,2019,Q2,12860,4,Very High,France,C,Nil
2017-Q4,G2017,2017,Q4,7,1,Low,French Guiana,C,Nil
2014-Q2,G2014,2014,Q2,74,2,Medium,Guadeloupe,C,Nil
2014-Q4,G2014,2014,Q4,10,1,Low,French Guiana,C,Nil
2021-Q4,G2021,2021,Q4,44,2,Medium, Martinique,C,Nil
2014-Q4,G2014,2014,Q4,63,2,Medium, Martinique,C,Nil
2016-Q3,G2016,2016,Q3,28,2,Medium,French Guiana,C,Nil
2024-Q1,G2024,2024,Q1,0,1,Low,French Teritories,OFOT,Nil
2022-Q2,G2022,2022,Q2,133,3,High,La Réunion,C,Nil
2020-Q4,G2020,2020,Q4,121,3,High,La Réunion,C,Nil
2016-Q2,G2016,2016,Q2,84,3,High,Guadeloupe,C,Nil
2017-Q2,G2017,2017,Q2,0,1,Low,French Teritories,OFOT,Nil
2021-Q2,G2021,2021,Q2,12,1,Low,French Guiana,C,Nil
2023-Q2,G2023,2023,Q2,79,3,High,Guadeloupe,C,Nil
2022-Q3,G2022,2022,Q3,59,2,Medium,Guadeloupe,C,Nil
2022-Q1,G2022,2022,Q1,63,2,Medium,Guadeloupe,C,Nil
2022-Q3,G2022,2022,Q3,139,3,High,La Réunion,C,Nil
2022-Q4,G2022,2022,Q4,20,2,Medium,French Guiana,C,Nil
2016-Q3,G2016,2016,Q3,89,3,High, Martinique,C,Nil
2023-Q3,G2023,2023,Q3,9,1,Low,French Teritories,OFOT,Nil
2015-Q1,G2015,2015,Q1,165,4,Very High,La Réunion,C,Nil
2020-Q3,G2020,2020,Q3,55,2,Medium, Martinique,C,Nil
2017-Q1,G2017,2017,Q1,8,1,Low,French Teritories,OFOT,Nil
2015-Q3,G2015,2015,Q3,13270,4,Very High,France,C,Nil
2022-Q1,G2022,2022,Q1,12,1,Low,French Teritories,OFOT,Nil
2023-Q2,G2023,2023,Q2,13561,4,Very High,France,C,Nil
